SUBJECT_ID	BIOSPECIMEN_ID	ARRAY_DESIGN	RDA_FILE	RDA_DESCRIPTION
A579	A579_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A591	A591_TP3	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B189	B189_TC7	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A548	A548_TP2	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A584	A584_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A632	A632_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A651	A651_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A734	A734_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B155	B155_TP2	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B20	B20_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B296	B296_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B309	B309_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B312	B312_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A154	A154_TP3	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A155	A155_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A1717	A1717_TC7	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A196	A196_TC10	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A208	A208_TP4	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A2184	A2184_TP3	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A226	A226_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A251	A251_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A278	A278_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A290	A290_TP2	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A522	A522_TP3	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A540	A540_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A557	A557_TP2	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A611	A611_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A628	A628_TC7	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A665	A665_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A671	A671_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
A748	A748_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B1244	B1244_TP2	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B264	B264_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B349	B349_TC7	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B35	B35_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B396	B396_TC7	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B645	B645_TP2	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B777	B777_TP2	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
B972	B972_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
R43	R43_TP1	Human Taqman MicroRNA Array v3.0	CRC_PILOT_01_microRNA.Rda	Normalized and filtered tissue miRNA data
