FILE_NAME	PEAK_NAME	RETENTION_TIME	MZ
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2742	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2743	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2744	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2745	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2746	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2747	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2748	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2749	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2750	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2751	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2752	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2753	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2754	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2755	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2756	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2757	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2758	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2759	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2760	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2761	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2762	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2763	0.2742	102.9554
20091015_SB_SerumRun_NEG_NORM.Rda	102.9554_0.2764	0.2742	102.9554
