SUBJECT_ID	BIOSPECIMEN_ID	ARRAY DESIGN 	RDA_FILE	RDA_DESCRIPTION
PATIENT_1	GSM553110		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_2	GSM552975		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_3	GSM553038		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_4	GSM553149		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_5	GSM553022		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_6	GSM553053		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_7	GSM553105		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_8	GSM553111		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_9	GSM553030		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_10	GSM553161		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_11	GSM553028		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_12	GSM553033		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_13	GSM553060		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_14	GSM553100		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_16	GSM553112		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_17	GSM553126		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_18	GSM553133		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_19	GSM553167		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_20	GSM552985		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_21	GSM553008		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_22	GSM553017		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_23	GSM553050		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_24	GSM553051		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_25	GSM553098		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_26	GSM553116		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_27	GSM553166		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_28	GSM552976		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_29	GSM552973		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_30	GSM553049		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_31	GSM553103		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_32	GSM553137		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_33	GSM553159		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_34	GSM553027		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_35	GSM553117		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_36	GSM553127		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_37	GSM553018		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_38	GSM553079		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_39	GSM553101		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_40	GSM553148		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_41	GSM553151		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_42	GSM553160		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_43	GSM553005		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_44	GSM553009		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_45	GSM553048		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_46	GSM553143		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_47	GSM553146		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
PATIENT_48	GSM553147		BRC_BUFFA_2011_01_microRNA.Rda	Median Normalization
